sex,age,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,0,399548,397292,389567,371874,371989,380925,384793,381204,383957,388839,404049,400457,395315,394344,397897,399100,409471,403744,408013,419115,423135,420230
0,1,395294,395897,393218,385468,367965,368710,377392,381136,377855,385327,389754,405337,401206,395762,393777,397565,400418,411304,405090,406508,417627,421749
0,2,401225,397680,397730,394884,387109,369599,370929,379148,382792,380111,387649,391712,407765,403070,397394,394427,399537,402223,412762,404778,406183,417304
0,3,399805,401144,397587,397523,394636,386783,369202,370960,378851,385502,382878,390371,394324,410841,405691,399812,397890,401370,405242,413145,405210,406612
0,4,407266,401616,402614,399205,398918,395932,388010,370303,372561,381526,388290,385657,393191,397188,414231,408624,404076,401147,404548,405877,413781,405892
0,5,403181,408366,402608,403529,400254,399751,396750,388705,371024,374544,383862,390633,388021,395503,399870,417463,410865,407415,403672,404942,406296,414173
0,6,397941,403859,409052,403505,404326,401259,400694,397667,389693,373377,376514,386145,392957,390336,397801,402587,421014,413292,409847,404225,405496,406870
0,7,392061,398632,404022,409362,403860,404531,401629,400939,397885,392015,375696,378462,388365,395169,392599,399420,404760,422753,414887,410484,404867,406121
0,8,419174,393086,399577,404652,409986,404600,405240,402802,402073,399926,394403,378010,380509,390580,397393,394530,402127,406649,424839,415821,411429,405806
0,9,423513,419978,394100,400742,405424,410785,405573,406242,404263,405107,401849,396684,380269,382488,392792,398947,397258,403879,408224,425852,416839,412429
0,10,424202,423648,419554,394057,400752,405031,410575,405306,406280,407809,408141,403944,399079,382569,384567,394317,401690,399361,405436,409521,427165,418138
0,11,401734,424585,424105,419663,394374,401097,405046,410876,406150,410403,411010,410959,405984,401326,384868,385984,397360,403427,400561,406747,410855,428514
0,12,392733,403271,425698,425335,420326,395165,401895,405474,411559,409599,414239,414061,413700,407975,403595,386526,387884,399895,404539,401932,408136,412252
0,13,396889,393616,404266,426515,426105,420643,395729,402518,406193,414480,412630,417752,416839,416161,409950,405169,388560,389406,401463,405700,403124,409328
0,14,386863,398392,394625,405478,427384,426939,421042,396344,403527,408163,417126,415343,420906,419418,418616,411660,406796,389329,391372,402562,406856,404275
0,15,400819,388090,399468,395421,406360,427954,427643,421424,397402,403734,409794,419418,417789,423538,421801,420200,414176,407997,391168,392213,403447,407808
0,16,429139,401345,389228,400657,396313,407287,428919,428791,422715,396675,403927,411404,421723,419771,426452,424116,424492,418510,413730,392043,393170,404471
0,17,457558,429370,401338,390006,401100,396267,407509,428869,429338,421677,396540,404888,413984,424081,422917,429240,426522,427002,419618,414248,392601,393846
0,18,468222,455141,427402,399463,388877,399704,394897,406308,427701,426103,420079,395871,405264,415743,426580,425749,430075,425678,425931,419334,414045,392453
0,19,466347,463620,451321,423645,395537,385646,396587,391540,403508,423495,422011,417514,394043,405221,416874,428280,423897,427003,423251,424479,417933,412671
0,20,453454,461204,458964,446721,419337,390714,381756,392735,387804,397710,418506,417095,413890,391524,403541,417308,422672,418275,421825,420243,421488,414980
0,21,445676,448374,456925,454471,442108,415009,387016,377585,388671,383129,392524,414160,412719,410758,389290,403677,409488,413791,410138,418807,417302,418549
0,22,436161,440493,443562,452410,449829,437695,411209,383658,374107,384838,379561,388537,410867,409434,408721,389509,396715,403386,406453,407570,416300,414838
0,23,434134,432324,437087,439663,448672,446294,434493,408401,382702,371326,382279,377290,385850,408765,407689,409471,384925,391583,398540,404609,405838,414644
0,24,442827,431403,430037,434010,436025,445362,443256,431619,406289,380660,369665,381074,376051,384209,407835,408521,406753,382208,387981,397305,403476,404859
0,25,445139,441264,430053,427752,431117,433110,442813,441067,429899,404397,379584,369102,380662,375593,383475,408986,406600,404064,380502,387300,396768,403116
0,26,450981,445467,442373,429814,426777,430199,432166,442362,441367,428696,403662,379718,369586,381141,375970,384670,408551,405276,402637,380322,387345,396981
0,27,448003,452562,446913,443012,429231,426117,429558,431496,442294,440979,428655,404107,380680,370708,382051,377556,385526,407765,404392,402950,380820,388019
0,28,435517,448867,453629,446670,442445,428273,425026,428898,431091,442118,441590,429711,405391,382402,372551,383373,379009,386501,409123,405294,403999,382134
0,29,441899,437859,451217,454954,446920,442821,428276,425113,429399,432755,443212,443537,431860,407779,384837,375156,386280,380237,388038,411151,407527,406443
0,30,442308,442959,439364,451809,455300,447050,443546,428900,426304,431211,435048,445067,445978,434618,410053,387070,377582,388262,381737,390514,413786,410364
0,31,443694,443703,444444,440074,452064,455683,447037,444104,429097,428916,433351,437895,447243,448764,437084,411865,390779,379882,389203,384263,393175,416157
0,32,434449,444309,444332,444247,439324,451228,455200,446266,443976,431182,431342,435477,440500,449373,450947,438540,415375,393317,381670,391300,386499,395250
0,33,436749,434915,445140,444028,443890,438646,450748,455256,446088,445815,433101,433675,437206,442735,450783,452098,441604,417426,395351,383145,392817,387876
0,34,435003,437283,435357,445033,443124,443094,437689,450178,454881,447056,447460,434902,435631,438600,444232,451345,455031,443265,419519,396403,384205,394050
0,35,434809,435452,437716,434920,444466,441833,442332,436970,449435,455521,447910,448680,436283,437115,439263,444751,454220,456454,444581,420071,396984,384957
0,36,436802,434809,435847,437428,434111,443609,440450,441627,436078,450082,455985,448699,449683,437506,438041,439327,445976,456248,458635,444977,420467,397647
0,37,431898,436653,434402,435027,436414,432625,442169,438622,440212,436559,450632,456448,449276,450436,438193,438082,442389,448579,458440,458849,445246,420914
0,38,442201,431486,436374,433501,434016,435398,431332,441012,436793,440584,437102,451146,456830,449909,451044,438570,439603,442649,449703,458599,458930,445510
0,39,436256,442109,431520,436103,432809,433197,434600,430098,439711,437520,441032,437642,451784,457185,450322,451186,439501,440589,443408,449916,458811,459200
0,40,457176,435329,440952,430388,434958,431127,431685,433192,428223,439394,438032,441254,437920,451996,457076,450153,451540,441211,441250,443282,449761,458803
0,41,452902,455890,434172,439371,429027,433710,429292,430110,431508,428061,438903,438317,441298,438056,451939,456500,452071,452305,441009,440947,442960,449601
0,42,455594,451500,454397,432748,437620,427436,432177,427432,428285,431185,427790,438283,438666,441369,438061,451709,457399,452763,450574,440681,440609,442687
0,43,449148,453993,449871,452466,431206,435626,425775,430676,425439,427638,430578,427287,437398,438717,441069,437689,451933,457267,453404,449939,440103,440105
0,44,427667,447777,452330,448224,450602,429577,433722,424144,429074,424668,426844,429879,426697,436441,438515,440660,437252,451390,457110,452616,449148,439398
0,45,327131,425556,445422,449970,445890,448024,427610,431489,422179,428126,423742,425889,429010,425998,435395,438005,440407,437303,451133,456174,451683,448357
0,46,321500,325387,423473,443080,447496,443524,445352,425584,429096,421122,427101,422670,424882,427938,425185,434264,437747,438797,436725,450093,455198,450784
