sex	year	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
0	1995	2082393	2108583	2145932	2176743	2185299	2143358	2082157	2045613	2031304	2027694	1997797	1992337	2015894	1997768	1981378	1939091	1867851	1836565	1795838	1777907	1781134	1790194	1872305	2011440	2096927	2075187	2035402	2043245	2091136	2180545	2284676	2345399	2384925	2405121	2410905	2395081	2371734	2362030	2301100	2236468	2189436	2120514	2062972	1990492	1931742	1896108	1865219	1924715	1713376	1451295	1460844	1492465	1428246	1290720	1224905	1184346	1157872	1110164	1068156	1063184	1026990	982778	974583	985299	997591	979619	965214	942773	899680	876502	855438	818105	792765	767435	714641	622689	591946	536168	494648	453810	408627	363613	319110	273953	235545	202591	172370	145464	116707	94723	76417	59395	45486	34350	25448	18562	13177	9190	6267	4206	7361
0	1996	2076712	2084888	2115351	2154819	2186743	2195706	2151904	2090174	2053209	2038741	2035196	2005449	1999987	2023578	2005593	1989491	1947908	1877310	1847338	1808807	1793527	1799882	1811079	1894310	2033227	2117617	2094280	2053062	2059260	2105441	2193094	2294767	2353956	2392014	2410850	2415359	2398257	2373842	2363269	2301844	2236881	2189483	2120178	2062070	1988910	1929339	1892802	1861055	1919355	1708212	1446743	1455447	1485960	1421124	1283491	1217052	1175652	1148205	1099785	1057173	1050968	1013841	968836	959070	967593	977358	957356	940895	916783	872833	848220	825586	786988	759824	732550	679109	588841	556652	501105	459153	418095	373415	329362	286294	243221	206732	175495	147371	122617	96884	77353	61317	46774	35113	25962	18813	13414	9304	6338	4221	7276
0	1997	2073812	2079269	2091685	2124262	2164836	2197159	2204248	2159914	2097769	2060649	2046247	2042848	2013101	2007680	2031396	2013698	1998270	1957287	1888045	1860251	1824402	1812277	1820775	1833204	1916304	2054040	2136673	2111877	2069082	2073631	2118126	2203352	2303421	2361107	2397776	2415313	2418500	2400318	2375079	2363886	2302130	2236858	2189023	2119182	2060337	1986389	1925995	1888619	1856103	1913261	1702371	1441523	1449276	1478543	1412999	1275244	1208155	1165910	1137504	1088522	1045160	1037588	999518	953552	942013	948149	955270	933365	915075	889513	844792	818750	794287	754397	725383	696177	642175	553763	520235	465127	422980	382005	338163	295403	254083	213381	179000	149960	124141	101708	79041	61997	48222	36051	26491	19154	13564	9447	6398	4256	7209
0	1998	2073381	2076425	2086085	2100617	2134299	2175266	2205710	2212255	2167503	2105209	2068159	2053903	2050499	2020798	2015516	2039493	2022467	2007603	1967932	1900920	1875793	1843131	1833176	1842911	1855317	1937318	2073213	2154227	2127824	2083448	2086374	2128516	2212173	2310670	2366932	2402270	2418461	2420522	2401506	2375696	2364050	2301985	2236329	2187895	2117345	2057648	1982912	1921765	1883639	1850431	1906432	1695778	1435534	1442212	1470090	1403766	1265907	1198184	1155119	1125888	1076203	1031989	1023006	983809	936725	923252	926891	931448	907878	887974	861026	815560	787829	761483	720292	689440	658343	603886	517540	482845	428437	386404	345856	303201	262068	222810	184666	152864	126231	102883	82891	63272	48687	37105	27147	19502	13776	9527	6477	4282	7166
0	1999	2075754	2076045	2083258	2095031	2110671	2144746	2183830	2213724	2219839	2174936	2112716	2075816	2061557	2058191	2028635	2023634	2048249	2031786	2018199	1980715	1916424	1894469	1864010	1855319	1865033	1876444	1956682	2090878	2170126	2142108	2096178	2096816	2137469	2219593	2316594	2371492	2405449	2420489	2421672	2402077	2375864	2363788	2301338	2235133	2185917	2114541	2053987	1978538	1916735	1877936	1844043	1898786	1688314	1428660	1434138	1460492	1393348	1255454	1187143	1143403	1113188	1062700	1017623	1007004	966505	918193	902707	903934	906123	881112	859651	831317	784869	755395	727129	684669	652022	619094	564330	480323	444693	391318	349752	309996	268879	229704	192724	157603	128578	104520	83758	66269	49613	37398	27885	19939	13991	9648	6512	4320	7129
0	2000	2080647	2078462	2082891	2092215	2105095	2121131	2153325	2191857	2221317	2227272	2182442	2120376	2083474	2069254	2066019	2036756	2032419	2057553	2042367	2030931	1996126	1935063	1915294	1886130	1877446	1886166	1895915	1974534	2106885	2184351	2154742	2106599	2105820	2145026	2225697	2321259	2374741	2407511	2421647	2422210	2402208	2375614	2363027	2300018	2233078	2182955	2110748	2049407	1973346	1910970	1871508	1836857	1890188	1679839	1420787	1424948	1449669	1381713	1243886	1175153	1130591	1099271	1047967	1001839	989365	947436	897876	880495	879508	879518	853128	830100	800112	752652	721400	691218	647553	613173	578520	523669	442321	406072	354104	313382	274789	235558	198577	164370	132458	106361	84993	66872	51881	38039	28046	20433	14266	9770	6573	4329	7104
0	2001	2087779	2083396	2085322	2091859	2102289	2115565	2129723	2161366	2199461	2228756	2234776	2190097	2128031	2091170	2077085	2074122	2045540	2041755	2068117	2055085	2046291	2014672	1955852	1937360	1908233	1898581	1905641	1913869	1990724	2121214	2196914	2165052	2115573	2113426	2151275	2230556	2324622	2376879	2408710	2422203	2422320	2401934	2374878	2361601	2297839	2230038	2178993	2106028	2043996	1967409	1904473	1864274	1828746	1880482	1670219	1411813	1414563	1437585	1368864	1231326	1162043	1116548	1084085	1031775	984420	969913	926519	875889	856841	853831	851693	823916	799041	767336	718856	685833	653774	608986	572980	536786	482132	403830	367339	317168	277673	240613	203518	169244	138029	109461	86387	67762	52268	39703	28465	20500	14579	9932	6634	4353	7066
0	2002	2096912	2090564	2090266	2094299	2101940	2112766	2124164	2137775	2168983	2206909	2236265	2242429	2197745	2135720	2098999	2085192	2082883	2054876	2052357	2080820	2070434	2064788	2035367	1977883	1959410	1929343	1918055	1923595	1930158	2005238	2133880	2207142	2173903	2123146	2119730	2156292	2234131	2326888	2378166	2409317	2422341	2422034	2401180	2373481	2359306	2294660	2225989	2174089	2100466	2037826	1960729	1897165	1856109	1819564	1869515	1659328	1401658	1402950	1424247	1354925	1217602	1147675	1101217	1067388	1013894	965185	948559	903872	852459	831959	826959	822633	793193	766396	732931	683467	648716	614838	569054	531608	494127	440042	365210	328890	280902	243011	207759	173328	141999	113946	88796	68774	52874	39922	29644	20754	14586	10118	6721	4378	7028
0	2003	2108459	2099729	2097444	2099250	2104387	2112424	2121376	2132228	2145406	2176445	2214429	2243924	2250073	2205419	2143535	2107099	2093955	2092191	2065478	2065101	2096156	2088922	2085436	2057305	1999896	1980466	1948790	1936005	1939879	1944770	2018094	2144212	2215902	2181345	2129417	2124810	2160040	2236625	2328312	2378871	2409517	2422096	2421280	2399773	2371224	2356005	2290463	2220993	2168330	2094134	2030894	1953219	1888912	1846861	1809162	1857146	1647072	1390289	1390115	1409779	1339721	1202570	1131982	1084346	1048938	994136	944046	925428	879735	827805	805906	798880	792052	760876	732101	696880	646508	610091	574497	527924	489294	450881	397802	326867	291144	245706	209698	176809	145296	117100	92319	70589	53573	40305	29741	21559	14725	10091	6824	4418	6992
0	2004	2122735	2111304	2106617	2106435	2109344	2114877	2121040	2129447	2139866	2152878	2183975	2222098	2251576	2257742	2213211	2151616	2115856	2103267	2102764	2078224	2080481	2114631	2109560	2107325	2079224	2020914	1999859	1966712	1952281	1954482	1957727	2028625	2153079	2223245	2187479	2134464	2128628	2162719	2238286	2329159	2379175	2409343	2421392	2419880	2397508	2367962	2351671	2285301	2215128	2161781	2087023	2023109	1944743	1879563	1836382	1797403	1843261	1633407	1377710	1376180	1394001	1323097	1186154	1114707	1065690	1028541	972408	921126	900768	854333	801979	778667	769304	759861	726897	696136	659205	608018	570044	532921	485835	446378	407471	355871	289227	254524	211893	178328	148084	119694	94758	73283	54894	40759	29960	21575	15253	10156	6782	4470	6967
