year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1995,-359.5,-180.2,-151.3,-21.7,-43,-28.3,-37.7,0,566.6342,659.1,511.5171,372.3658,7174.67,23.4,88.2829,-535,-775.4
1996,-364.93443,-189.99514,-155.31812,-21.56387,-42.64206,-25.64352,-38.95095,0,611.83941,672.07382,515.75133,406.03335,0,19.52404,87.84264,-530.45168,-791.06362
1997,-387.55206,-166.52783,-149.90534,-21.60167,-66.88197,-24.17171,-39.25596,0,594.982,663.07983,508.5123,393.55659,0,19.19025,88.61101,-721.98031,-881.16362
1998,-394.65663,-195.74917,-155.82997,-21.41021,-43.69004,-9.61794,-39.77231,0,599.41056,660.7197,514.302,389.05122,0,18.44063,90.02092,-710.2736,-897.85417
1999,-397.41533,-188.6631,-161.84492,-22.37968,-47.00983,-6.37497,-39.81283,0,605.6243,663.41472,520.76133,389.70859,0,18.21102,91.62273,-688.34225,-908.98261
2000,-405.24721,-196.38064,-169.86752,-23.40462,-44.06243,-6.97563,-40.37579,0,613.32923,669.59094,529.36126,389.24725,0,17.79693,93.235,-688.20677,-919.88136
2001,-414.11131,-193.5253,-178.58887,-24.09699,-43.19575,-7.1111,-40.76787,0,622.57434,676.55845,538.46522,389.88437,0,17.45162,94.86754,-683.08495,-932.32712
2002,-421.79299,-177.50611,-186.89487,-24.44173,-52.96181,-7.10033,-40.93725,0,628.29323,680.07309,544.22719,390.13297,0,17.21523,96.0042,-666.91117,-940.3546
2003,-429.72994,-189.34776,-196.17025,-24.60518,-46.74796,-7.29036,-40.86387,0,636.58518,685.83297,552.46591,392.34302,0,17.07459,97.88551,-665.84018,-948.1897
2004,-440.371,-203.42518,-207.18134,-24.94612,-48.74034,-7.61263,-41.16379,0,648.9035,693.94272,559.2405,398.05594,0,17.20032,99.52872,-671.31312,-961.95588
2005,-449.09607,-219.30375,-217.74242,-25.17556,-45.45196,-7.93817,-41.32676,0,659.85478,700.108,566.54569,403.67193,0,17.35335,101.42476,-673.73375,-971.69227
2006,-456.07078,-237.04586,-228.61683,-25.32322,-39.10041,-8.16113,-41.28566,0,666.06078,704.36975,568.63197,406.6984,0,17.43937,102.13493,-675.52185,-977.30846
2007,-466.94993,-245.26301,-241.54084,-25.58466,-51.24002,-8.26829,-41.37931,0,676.7546,713.58464,577.17497,412.87669,0,17.66371,104.09421,-675.49687,-990.35398
2008,-478.78085,-252.29101,-254.9025,-25.79435,-63.65891,-8.18288,-41.32688,0,687.25549,721.17564,585.26425,418.4522,0,17.82729,106.02,-673.08059,-1001.62066
2009,-487.24348,-264.50417,-268.03257,-26.09559,-64.72969,-8.31679,-41.73176,0,697.22258,730.56468,595.36856,424.32981,0,18.04618,107.9292,-680.34556,-1013.47608
2010,-497.44842,-277.37644,-280.96279,-26.40915,-65.83528,-8.4426,-42.1878,0,707.32056,740.19675,605.16198,430.29031,0,18.2733,109.76454,-687.60203,-1025.48874
2011,-508.1243,-291.05204,-293.5979,-26.72532,-66.94405,-8.57207,-42.6744,0,717.20982,749.57155,614.49225,436.1022,0,18.49527,111.50963,-694.83964,-1037.0605
2012,-519.17368,-305.44617,-305.88841,-27.03701,-68.04706,-8.68527,-43.16956,0,726.79645,758.58919,623.27275,441.71599,0,18.71073,113.14645,-703.31375,-1048.4402
2013,-531.25515,-320.12704,-317.90966,-27.34972,-69.14993,-8.79544,-43.66545,0,735.97619,767.15828,631.5512,447.06136,0,18.91481,114.68732,-710.78697,-1058.911
2014,-544.33531,-335.1302,-329.49977,-27.65532,-70.43491,-8.93772,-44.164,0,745.65682,775.94378,642.62065,452.74103,0,19.11105,116.81608,-717.42234,-1069.04014
2015,-558.12497,-350.18573,-340.40029,-27.95365,-71.52262,-9.03645,-44.66375,0,754.21349,783.86628,650.02059,457.69734,0,19.30134,118.18759,-723.79553,-1078.18363
2016,-572.51588,-365.07159,-350.55442,-28.2377,-72.78495,-9.1662,-45.16094,0,763.31825,792.11129,660.15269,463.01862,0,19.48633,120.13083,-730.1378,-1087.63961
2017,-587.81877,-379.80247,-359.88712,-28.51171,-74.025,-9.28627,-45.65217,0,772.08034,800.04426,669.75174,468.13675,0,19.66553,121.96932,-737.01923,-1096.86171
2018,-603.5515,-394.53577,-368.41705,-28.76712,-75.24985,-9.40768,-46.14409,0,780.5588,807.70546,678.86903,473.07407,0,19.83892,123.71167,-742.81076,-1105.40825
2019,-619.58524,-409.04389,-376.12925,-29.01827,-76.45487,-9.51493,-46.63317,0,788.71478,815.07194,687.49797,477.81936,0,20.00662,125.35841,-747.97301,-1113.40188
2020,-635.5428,-423.56767,-382.92683,-29.25395,-77.64227,-9.6233,-47.11143,0,796.59371,822.14317,695.67242,482.38649,0,20.16823,126.9163,-752.54424,-1120.81966
2021,-651.30467,-438.02581,-388.72226,-29.48277,-78.80507,-9.72322,-47.57638,0,804.2485,828.98535,703.44066,486.80926,0,20.32531,128.39318,-756.89479,-1127.9228
2022,-667.07988,-452.9075,-394.96033,-29.70159,-79.95832,-9.82073,-48.03913,0,811.84621,835.72555,710.91659,491.17383,0,20.48065,129.81009,-762.50902,-1135.24641
2023,-682.66007,-467.70975,-401.91256,-29.91816,-81.25946,-9.94693,-48.50103,0,820.19701,842.9934,721.01243,496.01763,0,20.63763,131.77057,-767.22395,-1142.82776
2024,-696.30763,-482.73635,-409.20756,-30.12959,-82.52621,-10.06467,-48.95687,0,828.4989,850.20173,730.7091,500.81375,0,20.79484,133.64827,-771.45528,-1150.22896
2025,-710.30073,-498.58917,-416.5546,-30.33703,-83.76819,-10.18349,-49.39978,0,836.82685,857.39254,740.09226,505.6005,0,20.95316,135.45973,-775.3558,-1157.55142
2026,-725.3124,-514.6107,-424.04277,-30.55111,-84.98443,-10.29922,-49.83579,0,845.16734,864.59834,749.20194,510.38326,0,21.11332,137.21275,-779.12528,-1164.88089
2027,-739.90357,-530.73065,-431.7922,-30.76953,-86.17485,-10.4122,-50.27025,0,853.56073,871.86122,758.0921,515.19154,0,21.27677,138.91735,-784.27888,-1172.76565
2028,-753.8206,-547.05905,-440.10118,-30.99139,-87.33867,-10.52686,-50.70598,0,862.0988,879.28386,766.84039,520.07807,0,21.44555,140.5871,-788.82513,-1180.64574
2029,-766.52494,-563.2665,-448.86193,-31.22457,-88.62293,-10.66377,-51.14174,0,871.48009,887.36877,778.07735,525.494,0,21.61987,142.77012,-793.1789,-1189.25829
2030,-778.50687,-579.4463,-457.50836,-31.46395,-89.71521,-10.77561,-51.58352,0,880.27857,895.09841,786.41199,530.51924,0,21.79954,144.34457,-797.37385,-1197.51797
2031,-789.82553,-595.11487,-465.79029,-31.71532,-90.92508,-10.90908,-52.01589,0,889.87412,903.4642,797.18229,536.05419,0,21.98474,146.42063,-801.64104,-1206.55335
2032,-800.70439,-610.14993,-474.63523,-31.97598,-92.09575,-11.04514,-52.45363,0,899.52279,911.93466,807.67145,541.62009,0,22.1745,148.43444,-806.05441,-1215.78738
2033,-810.98447,-624.16713,-484.6973,-32.24346,-93.22471,-11.17311,-52.89348,0,909.15236,920.45693,817.85181,547.1783,0,22.36724,150.3816,-810.56762,-1225.13439
2034,-820.27253,-637.56679,-494.78643,-32.51763,-94.44857,-11.32635,-53.33713,0,919.39102,929.43978,830.21227,553.13298,0,22.56179,152.77992,-815.15065,-1235.011
2035,-828.48636,-650.01381,-504.3896,-32.80228,-95.49228,-11.45037,-53.78334,0,928.9261,937.9975,839.71333,558.64153,0,22.7592,154.58149,-819.85757,-1244.50633
2036,-835.78006,-661.37684,-513.79824,-33.09194,-96.62737,-11.5981,-54.21547,0,938.95296,946.93907,851.30291,564.48656,0,22.95665,156.81695,-824.59544,-1254.42202
2037,-842.63476,-671.94236,-523.06357,-33.38734,-97.72127,-11.74032,-54.6512,0,948.90172,955.88685,862.54748,570.29435,0,23.15617,158.97927,-829.42623,-1264.37877
2038,-849.14883,-681.90629,-532.14506,-33.68729,-98.77289,-11.87909,-55.09298,0,958.74366,964.79635,873.39676,576.04404,0,23.35687,161.0585,-834.31934,-1274.33442
2039,-855.38646,-691.37348,-541.02165,-33.98516,-99.91982,-12.03692,-55.53646,0,969.11504,974.11884,886.20324,582.13756,0,23.55844,163.54292,-839.30071,-1284.75938
2040,-861.28793,-700.51104,-549.70873,-34.28481,-100.88975,-12.16694,-55.97627,0,978.69095,982.87805,896.12335,587.72697,0,23.75966,165.42873,-844.34677,-1294.63935
2041,-867.01201,-708.83056,-558.11718,-34.58444,-101.95384,-12.31454,-56.41533,0,988.64059,991.89685,907.87589,593.5742,0,23.95867,167.6969,-849.41001,-1304.78351
2042,-872.95962,-716.28064,-566.21824,-34.87745,-102.98001,-12.45666,-56.8512,0,998.32705,1000.72594,919.08852,599.26706,0,24.15481,169.85525,-854.49259,-1314.73361
2043,-879.25996,-723.97499,-574.17854,-35.16768,-104.09946,-12.61534,-57.28894,0,1008.42133,1009.79362,932.04421,605.21928,0,24.3485,172.37795,-859.58612,-1324.91646
2044,-885.82318,-731.6026,-581.96019,-35.45147,-105.05842,-12.746,-57.72597,0,1017.70897,1018.26296,942.17361,610.65221,0,24.53987,174.31567,-864.69675,-1334.48321
2045,-892.72972,-738.78166,-589.63249,-35.73011,-106.11557,-12.89213,-58.16222,0,1027.32871,1026.93997,953.96106,616.31086,0,24.72855,176.60008,-869.81796,-1344.2635
2046,-899.87582,-745.90531,-597.28573,-36.00399,-107.14614,-13.03406,-58.59408,0,1036.6862,1035.37915,965.1715,621.80453,0,24.91343,178.76791,-874.88635,-1353.7559
2047,-907.34585,-752.78161,-604.68266,-36.27497,-108.27847,-13.19097,-59.02515,0,1046.41185,1044.05914,978.00754,627.539,0,25.09637,181.27521,-879.9733,-1363.49638
2048,-915.2108,-759.67476,-611.50269,-36.53979,-109.27273,-13.32084,-59.45737,0,1055.41246,1052.20412,988.18763,632.80559,0,25.27827,183.23164,-885.09228,-1372.71076
2049,-923.36634,-766.56384,-617.62521,-36.80291,-110.37217,-13.46731,-59.8892,0,1064.82142,1060.61955,999.97563,638.33253,0,25.45924,185.52279,-890.23054,-1382.20786
2050,-931.78997,-773.55926,-623.15043,-37.05842,-111.45436,-13.60884,-60.32115,0,1074.06983,1068.89967,1011.20744,643.75483,0,25.6395,187.69936,-895.38174,-1391.57571
2051,-940.6259,-780.11745,-628.07736,-37.31469,-112.64058,-13.76395,-60.75138,0,1083.69748,1077.45588,1023.96262,649.42375,0,25.81917,190.19258,-900.58152,-1401.24995
2052,-949.98979,-786.54843,-632.39298,-37.56709,-113.81281,-13.91561,-61.18303,0,1093.1406,1085.86408,1036.14963,654.97593,0,25.99775,192.56867,-905.79627,-1410.78151
2053,-959.91417,-793.51256,-636.42019,-37.81576,-114.96877,-14.05998,-61.61627,0,1102.4497,1094.13824,1047.78359,660.43233,0,26.17563,194.83116,-911.01495,-1420.1767
2054,-970.2302,-800.95755,-640.56718,-38.06214,-116.11356,-14.19932,-62.05339,0,1111.6732,1102.32761,1058.91831,665.81816,0,26.3535,196.98896,-916.29234,-1429.52603
2055,-980.73524,-809.41568,-645.27856,-38.31198,-117.35885,-14.35463,-62.49193,0,1121.37325,1110.81457,1071.51013,671.48874,0,26.53223,199.44949,-921.61698,-1439.20112
2056,-991.25635,-818.09287,-650.68147,-38.56181,-118.58767,-14.50418,-62.93149,0,1130.97729,1119.21236,1083.5819,677.08496,0,26.7111,201.8014,-926.96852,-1448.80935
2057,-1001.88235,-828.34578,-656.22217,-38.81484,-119.80362,-14.64895,-63.37349,0,1140.64565,1127.61,1095.23038,682.68576,0,26.89237,204.06352,-932.41646,-1458.47564
2058,-1012.63726,-839.31782,-661.23433,-39.07208,-121.11096,-14.8087,-63.81933,0,1150.84594,1136.38018,1108.30571,688.60398,0,27.07666,206.61936,-937.95844,-1468.57419
2059,-1023.37707,-851.16198,-665.6494,-39.33528,-122.39384,-14.96564,-64.26921,0,1161.06355,1145.14641,1120.89852,694.50849,0,27.26358,209.07291,-943.58003,-1478.72099
2060,-1033.99208,-863.34408,-669.98534,-39.60123,-123.65456,-15.11661,-64.72511,0,1171.27042,1153.91694,1133.02267,700.39106,0,27.4531,211.42674,-949.29922,-1488.93065
2061,-1044.44033,-875.94512,-674.66266,-39.87417,-124.99421,-15.28235,-65.18447,0,1181.93974,1163.02723,1146.47163,706.55612,0,27.64517,214.05334,-955.11131,-1499.53109
2062,-1054.73993,-888.56476,-679.76342,-40.15256,-126.30633,-15.4428,-65.64867,0,1192.54515,1172.11727,1159.41483,712.67758,0,27.83965,216.57278,-961.00133,-1510.15727
2063,-1064.93996,-900.42799,-685.41759,-40.43604,-127.68709,-15.61646,-66.11659,0,1203.50723,1181.51886,1173.57794,719.03699,0,28.03646,219.34377,-966.98464,-1521.14643
2064,-1075.09867,-912.89159,-691.69478,-40.72371,-129.03426,-15.7842,-66.59025,0,1214.41792,1190.88666,1187.20613,725.34957,0,28.23511,222.00206,-973.05102,-1532.1362
2065,-1085.21132,-925.2308,-698.77583,-41.01475,-130.44016,-15.96511,-67.06882,0,1225.67555,1200.52974,1201.9666,731.88611,0,28.43569,224.89399,-979.19164,-1543.4421
2066,-1095.2447,-937.83857,-706.66699,-41.30958,-131.71099,-16.12262,-67.55151,0,1236.39592,1209.80256,1214.49638,738.07069,0,28.63758,227.32111,-985.40628,-1554.39811
2067,-1105.25695,-950.12815,-714.98051,-41.60855,-133.12964,-16.30872,-68.03991,0,1247.84853,1219.62528,1229.74162,744.73253,0,28.84073,230.31145,-991.68306,-1565.93708
2068,-1115.29523,-962.10564,-723.44513,-41.90797,-134.50443,-16.48819,-68.52765,0,1259.12438,1229.34419,1244.34608,751.28793,0,29.04447,233.16822,-998.0175,-1577.39113
2069,-1125.40619,-974.19493,-731.80071,-42.20881,-135.83744,-16.66116,-69.02178,0,1270.25433,1238.97157,1258.33643,757.74836,0,29.24874,235.89682,-1004.40459,-1588.76052
2070,-1135.57185,-986.25911,-739.98669,-42.51102,-137.1307,-16.82735,-69.51608,0,1281.21656,1248.49154,1271.70842,764.1042,0,29.45325,238.49654,-1010.8413,-1600.03163
