sex,year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,1995,2079687,2106258,2142730,2172806,2180982,2138943,2078169,2041725,2027582,2024190,1994525,1989263,2013003,1994888,1978282,1935584,1863660,1831844,1790284,1771149,1772964,1780398,1861226,1999651,2085231,2064210,2025452,2034203,2082928,2172972,2277583,2339165,2379013,2399512,2405575,2390023,2366985,2357501,2296803,2232367,2185479,2116708,2059325,1987090,1928649,1893348,1862785,1922503,1711456,1449611,1459230,1490907,1426801,1289429,1223738,1183292,1156918,1109304,1067383,1062334,1026228,982143,974002,984771,997123,979213,964875,942492,899455,876339,855344,818053,792795,767537,714793,622856,592165,536420,494935,454128,408961,363949,319442,274280,235880,202941,172753,145820,117021,95002,76662,59602,45658,34491,25560,18651,13245,9241,6304,4233,7414
0,1996,2043476,2079965,2109879,2147734,2178544,2187029,2143544,2082334,2045629,2031547,2028454,1999140,1994060,2017853,1999670,1982947,1940278,1868471,1837142,1796579,1778694,1782023,1790316,1871552,2009826,2094970,2073330,2034030,2041963,2089621,2178383,2281347,2341683,2380331,2399723,2404751,2388216,2364330,2354136,2293107,2228463,2181308,2112326,2054647,1982131,1923320,1887533,1856453,1915172,1704542,1443495,1452332,1482974,1418389,1281087,1214922,1173761,1146527,1098308,1055724,1049549,1012650,967839,958200,966858,976770,956915,940601,916626,872801,848336,825843,787377,760386,733269,679924,589661,557590,502100,460218,419219,374552,330487,287397,244292,207791,176570,148413,123570,97710,78073,61938,47288,35532,26298,19075,13616,9455,6448,4300,7432
0,1997,2010347,2043931,2083637,2114923,2153502,2184610,2191636,2147713,2086247,2049606,2035824,2033078,2003949,1998933,2022648,2004350,1987630,1945039,1873765,1843418,1804139,1787800,1791991,1800797,1881961,2019677,2103967,2081715,2041668,2048606,2095068,2182213,2283813,2342883,2380364,2398679,2402657,2385246,2360684,2349937,2288653,2223780,2176324,2107129,2049180,1976445,1917341,1881133,1849567,1907254,1697040,1436799,1444778,1474287,1409173,1271943,1205283,1163410,1135340,1086515,1043300,1035921,998162,952466,941148,947525,954913,933249,915208,889882,845370,819563,795365,755700,726959,698005,644147,555702,522368,467324,425274,384362,340508,297704,256320,215523,181086,151960,126003,103382,80465,63215,49253,36887,27157,19675,13962,9746,6617,4412,7515
0,1998,1980343,2010963,2047661,2088721,2120726,2159596,2189237,2195812,2151630,2090233,2053894,2040459,2037894,2008835,2003759,2027340,2009047,1992373,1950276,1880041,1850966,1813268,1797818,1802517,1811352,1892038,2028776,2112213,2089148,2048191,2054015,2098954,2184770,2284983,2342826,2379178,2396406,2399433,2381300,2356203,2344955,2283388,2218272,2170541,2101192,2043044,1970162,1910812,1874185,1842100,1898684,1688880,1429464,1436508,1464797,1399108,1261957,1194814,1152259,1123337,1073940,1030038,1021358,982563,935836,922693,926710,931671,908454,888921,862329,817149,789790,763841,722967,692494,661759,607492,521046,486617,432257,390314,349808,307093,265854,226450,188115,156105,129242,105613,85302,65284,50374,38503,28256,20365,14436,10020,6839,4541,7667
0,1999,1953510,1981104,2014745,2052785,2094553,2126847,2164246,2193430,2199734,2155616,2094526,2058536,2045284,2042784,2013676,2008493,2032051,2013807,1997597,1956500,1887596,1860089,1823308,1808385,1813103,1821568,1901368,2037134,2119512,2095475,2053500,2057892,2101611,2186090,2284954,2341614,2376830,2393060,2395265,2376530,2350940,2339154,2277309,2212015,2164090,2094666,2036371,1963363,1903751,1866656,1834002,1889413,1680020,1421450,1427483,1454453,1388142,1251118,1183533,1140286,1110531,1060508,1015847,1005657,965661,917798,902776,904530,907284,882755,861810,833953,787908,758947,731213,689159,657008,624563,570028,485807,450503,397108,355594,315832,274571,235184,197940,162417,132986,108516,87301,69339,52124,39459,29556,21235,14976,10384,7049,4705,7872
0,2000,1929317,1954400,1984930,2019904,2058646,2100695,2131518,2168456,2197364,2203722,2159907,2099170,2063366,2050184,2047629,2018429,2013251,2036820,2019044,2003803,1963999,1896718,1870102,1833853,1818938,1823242,1830910,1909811,2044364,2125490,2100364,2057058,2060320,2102810,2185975,2283503,2338950,2373083,2388393,2389844,2370507,2344368,2332052,2270058,2204756,2156791,2087408,2029021,1955886,1895962,1858346,1825083,1879231,1670255,1412584,1417523,1443075,1376150,1239352,1171341,1127438,1096785,1046067,1000471,988572,947260,898259,881486,881200,881964,856209,833848,804508,757563,726964,697452,654285,620526,586481,531874,450146,414241,362138,321396,282707,243197,205855,171149,138577,111841,89853,71088,55462,40907,30348,22257,15648,10796,7322,4862,8133
0,2001,1907320,1930328,1958269,1990121,2025792,2064811,2105385,2135747,2172406,2201364,2208018,2164553,2104005,2068276,2055046,2052384,2023208,2018076,2042069,2025269,2011292,1973072,1906732,1880611,1844369,1829033,1832508,1839399,1917199,2050360,2130105,2103579,2059267,2061415,2102724,2184606,2280762,2335031,2368131,2382567,2383251,2363267,2336632,2323948,2262014,2196866,2148940,2079609,2021085,1947748,1887462,1849300,1815384,1868155,1659590,1402853,1406600,1430671,1363180,1226669,1158284,1113667,1082024,1030429,983735,969967,927325,877363,859082,856970,855805,828819,804810,773923,726056,693824,662579,618380,583119,547642,493207,414279,378105,327637,288000,250698,213143,178237,146239,116720,92752,73286,56957,43602,31518,22895,16433,11303,7628,5061,8425
0,2002,1887571,1908448,1934240,1963493,1996038,2031981,2069522,2109632,2139716,2176421,2205671,2212670,2169390,2108920,2073150,2059822,2057165,2028059,2023391,2048316,2032788,2020366,1983042,1917241,1891090,1854442,1838292,1840979,1846929,1923486,2055131,2133163,2105562,2060280,2061384,2101571,2182154,2276966,2330090,2362190,2375740,2375624,2355080,2328156,2315325,2253596,2188641,2140719,2071357,2012590,1938995,1878330,1839576,1804917,1856175,1647993,1392226,1394736,1417317,1349274,1213140,1144331,1098909,1066063,1013420,965508,949814,906011,855375,835812,831931,828804,800353,774617,742131,693366,659546,626628,581513,544912,508222,454259,378479,342400,293894,255676,219982,184784,152503,123349,96941,75766,58810,44849,33650,23818,16933,11892,8002,5284,8764
0,2003,1869915,1888813,1912402,1939497,1969438,2002251,2036714,2073789,2113617,2143747,2180741,2210333,2217511,2174303,2113796,2077939,2064625,2062015,2033405,2029712,2055866,2041901,2030344,1993517,1927745,1901168,1863747,1846852,1848606,1853492,1928698,2058492,2135122,2106484,2060321,2060463,2099535,2178860,2272359,2324378,2355485,2368148,2367351,2346475,2319479,2306609,2245065,2180215,2132175,2062658,2003584,1929717,1868623,1829175,1793661,1843245,1635432,1380737,1382019,1403071,1334515,1198737,1129416,1082976,1048722,994909,945766,928275,883593,832539,811759,806075,800720,770722,743195,709106,659509,624161,589664,543803,506075,468454,415326,343051,307428,261182,224605,190944,158305,128803,102588,79300,60889,46377,34665,25469,17645,12274,8434,5553,9150
0,2004,1854774,1871265,1892811,1917692,1945469,1975673,2007005,2041001,2077792,2117664,2148084,2185419,2215188,2222427,2179171,2118583,2082759,2069507,2067368,2039768,2037348,2065022,2051934,2040852,2004021,1937905,1910555,1872444,1854664,1855364,1859088,1932624,2060884,2136152,2106580,2059638,2058840,2096852,2174967,2267212,2318166,2348315,2360232,2358978,2337957,2310942,2297958,2236467,2171587,2123308,2053584,1994188,1919990,1858349,1818071,1781563,1829315,1621927,1368452,1368480,1387994,1318851,1183368,1113328,1065670,1029856,974862,924662,905622,860312,808926,786905,779151,771455,739846,710513,674861,624512,587728,551801,505413,466834,428643,376747,308299,273476,229688,195178,163778,133869,107262,84031,63816,48084,35897,26276,18896,12811,8719,5863,9596
