sex,typ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,1,0.03038,0.07914,0.13324,0.17863,0.23967,0.31567,0.38162,0.44196,0.53445,0.63959,0.76758,0.87881,1.02789,1.22913,1.37022,1.5905,1.89473,2.09887,0.59572,0.0743,0.07081,0.08729,0.10531,0.1214,0.14173,0.20232,0.23798,0.25741,0.30314,0.34829,0.41628,0.45544,0.50077,0.57719,0.64503,0.69732,0.75703,0.79204,0.88002,0.95677,1,1.05736,1.08415,1.29551,1.46295,1.33507,1.3668,1.54926,1.72467,1.7754,1.81964,1.97907,2.17887,2.30559,2.50815,2.85951,3.21006,3.42334,3.75204,4.01708,4.37952,4.58901,18.87539,25.0043,26.67971,33.99706,36.98918,36.40261,36.40475,38.72067,42.51389,39.30145,43.48645,45.46054,48.73226,48.17841,48.33839,46.96129,45.78624,43.89311,42.91053,43.22824,43.14622,43.75555,42.02272,41.76041,41.76041,41.76041,41.76041,41.76041,41.76041,41.76041,41.76041,41.76041,41.76041,41.76041,41.76041,41.76041,41.76041,41.76041,41.76041
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00367,0.00367,0.00367,0.00367,0.00367,0.0131,0.0131,0.0131,0.0131,0.0131,0.01983,0.01983,0.01983,0.01983,0.01983,0.02319,0.02319,0.02319,0.02319,0.02319,0.03139,0.03139,0.03139,0.03139,0.03139,0.03139,0.03139,0.03139,0.03139,0.03139,0.04892,0.04892,0.04892,0.04892,0.04892,0.07801,0.07801,0.07801,0.07801,0.07801,0.14919,0.14919,0.14919,0.14919,0.14919,1,1,1,1,1,1.37427,1.37427,1.37427,1.37427,1.37427,1.67593,1.67593,1.67593,1.67593,1.67593,1.81373,1.81373,1.81373,1.81373,1.81373,1.56587,1.56587,1.56587,1.56587,1.56587,1.56587,1.56587,1.56587,1.56587,1.56587,1.56587,1.56587,1.56587,1.56587,1.56587,1.56587
0,3,0.37662,0.17339,0.17339,0.17339,0.17339,0.17339,0.16497,0.16497,0.16497,0.16497,0.16497,0.16497,0.16497,0.16497,0.16497,0.32488,0.32488,0.32488,0.32488,0.32488,0.32488,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.09226,1.09226,1.09226,1.09226,1.09226,1.09226,1.09226,1.09226,1.09226,1.09226,1.09226,1.09226,1.09226,1.09226,1.09226,1.09226,1.09226,1.09226,1.09226,1.09226,0.92298,0.92298,0.92298,0.92298,0.92298,0.92298,0.92298,0.92298,0.92298,0.92298,1.22975,1.22975,1.22975,1.22975,1.22975,1.22975,1.22975,1.22975,1.22975,1.22975,1.52006,1.52006,1.52006,1.52006,1.52006,1.52006,1.52006,1.52006,1.52006,1.52006,1.52006,1.52006,1.52006,1.52006,1.52006,1.52006
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.25,0.4,0.55,0.675,0.8,0.925,1.025,1.1,1.125,1.12,1.11,1.1,1.09,1.08,1.07,1.06,1.05,1.04,1.03,1.02,1.01,1,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.92,0.91,0.9,0.89,0.87,0.85,0.825,0.8,0.775,0.74,0.7,0.655,0.605,0.535,0.43,0.3,0.225,0.15,0.1,0.06,0.03,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.05099,0.12122,0.19501,0.27081,0.34724,0.42299,0.49703,0.56841,0.63631,0.70004,0.75909,0.81304,0.86156,0.90449,0.94169,0.97316,0.99904,1.01947,1.03473,1.0451,1.05102,1.05289,1.05124,1.04662,1.03955,1.03072,1.02076,1.01028,1,0.99062,0.98281,0.97725,0.97459,0.97551,0.98063,0.99054,1.00582,1.02699,1.05449,1.08876,1.13015,1.17895,1.23536,1.29951,1.37144,1.4511,1.53835,1.63295,1.73447,1.84249,1.95635,2.07533,2.19855,2.32497,2.45341,2.58257,2.71093,2.83682,2.95841,3.0737,3.18045,3.27625,3.35853,3.42444,3.47099,3.49489,3.49269,3.46072,3.39497,3.29134,3.1453,2.95222,2.7071,2.40472,2.40472,2.40472,2.40472,2.40472,2.40472,2.40472,2.40472,2.40472,2.40472,2.40472,2.40472,2.40472,2.40472,2.40472,2.40472
0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05077,0.10154,0.15227,0.22845,0.32994,0.43148,0.53298,0.68529,0.83756,0.9391,1.0406,1.11673,1.1675,1.21827,1.24372,1.21417,1.18274,1.15227,1.12184,1.09137,1.0609,1.03047,1,0.96953,0.9391,0.90863,0.87816,0.84773,0.81726,0.78679,0.75636,0.72589,0.69542,0.67512,0.64465,0.61422,0.58375,0.55328,0.52285,0.49238,0.46191,0.43148,0.40101,0.37054,0.34011,0.30964,0.27917,0.24874,0.21827,0.1878,0.15738,0.1269,0.09643,0.06601,0.03553,0.00506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0299,0.14953,0.23924,0.32896,0.42464,0.5323,0.61604,0.66389,0.71031,0.75326,0.79318,0.82989,0.86326,0.89316,0.91947,0.94213,0.96116,0.97653,0.98821,0.99634,1.00095,1.00213,1,0.99468,0.98637,0.97516,0.96124,0.94481,0.92613,0.90534,0.88271,0.85842,0.83273,0.80589,0.77807,0.7496,0.72062,0.69147,0.66231,0.63339,0.60494,0.57717,0.55023,0.52438,0.4998,0.47659,0.45499,0.43506,0.41691,0.40069,0.38646,0.37422,0.36409,0.35596,0.34988,0.3458,0.34356,0.34093,0.33793,0.33493,0.33196,0.32896,0.32596,0.32298,0.31998,0.31698,0.31401,0.31101,0.31101,0.31101,0.31101,0.31101,0.31101,0.31101,0.31101,0.31101,0.31101,0.31101,0.31101,0.31101,0.31101,0.31101,0.31101
0,8,0,0,0,0.06772369,0.12338749,0.76959163,0.73445947,0.71944363,0.703992,0.69822756,0.69893309,0.70014387,0.71992915,0.70359774,1,0.92413317,0.81832035,0.74930648,0.32793987,0.31157795,0.3027905,0.29424344,0.14403075,0.14602615,0.1445844,0.05033477,0.04800167,0.04598043,0.04479517,0.0441272,0.02306204,0.02289339,0.02304124,0.02322223,0.02341603,0.01663519,0.017006,0.01744156,0.01789225,0.01837825,0.00942043,0.00964903,0.00980785,0.00975032,0.00990923,0.01121145,0.01247385,0.01241724,0.01231928,0.01299407,0.00197721,0.00207897,0.00213443,0.00218563,0.00226328,0.0023183,0.00233908,0.00241028,0.00247416,0.00245467,0.00240518,0.00238024,0.0023902,0.00239483,0.002424,0.00019888,0.00020102,0.00020412,0.00020939,0.00021247,0.00021727,0.00023313,0.00024962,0.00026195,0.00027765,0.00029137,0.00030666,0.00032651,0.00035078,0.00038156,0.00041857,0.00045801,0.00050318,0.00055648,0.00062629,0.00071078,0.00080662,0.00093322,0.00109803,0.0013049,0.00035064,0.00035064,0.00035064,0.00035064,0.00035064,0.00035064,0.00035064,0.00035064,0.00035064,0.00035064,0.00035064
0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08003,0.1081,0.15236,0.22628,0.28347,0.32327,0.40963,0.4706,0.54491,0.61319,0.64993,0.70188,0.74111,0.76123,0.81163,0.82507,0.8505,0.8905,0.91024,0.92454,0.95073,0.97795,0.98592,1,1.00979,1.02458,1.05965,1.06383,1.05951,1.0596,1.06287,1.0563,1.04228,1.02469,1.01612,0.99869,0.99433,0.95215,0.92554,0.91369,0.82686,0.79639,0.74862,0.6654,0.64316,0.51006,0.47322,0.39235,0.29896,0.25664,0.21038,0.15069,0.13524,0.12121,0.10356,0.09798,0.07527,0.06485,0.06042,0.05386,0.04646,0.03921,0.03872,0.03044,0.03006,0.02979,0.0296,0.03006,0.02541,0.02541,0.02541,0.02541,0.02541,0.02541,0.02541,0.02541,0.02541,0.02541,0.02541,0.02541,0.02541,0.02541,0.02541,0.02541
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08647,0.11657,0.16549,0.24216,0.30871,0.3506,0.4425,0.50936,0.59094,0.65749,0.69352,0.7459,0.78751,0.8065,0.84778,0.8604,0.87867,0.91536,0.92478,0.93958,0.95218,0.98555,0.98923,1,1.00738,1.01706,1.04597,1.0469,1.04404,1.04346,1.04714,1.03155,1.02283,1.01136,0.99483,0.97995,0.96751,0.92766,0.91926,0.89414,0.80964,0.78464,0.74206,0.66494,0.64038,0.50363,0.47259,0.37663,0.28536,0.2447,0.18219,0.1428,0.12625,0.1159,0.09701,0.08898,0.0712,0.06347,0.05575,0.052,0.04627,0.03755,0.03635,0.0309,0.03097,0.03097,0.02545,0.02659,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247
