age,sex,year,pop,tva,tipp,cot,irpp,impot,property,chomage,retraite,revsoc,maladie,educ,grth,dsct
0,0,2007,394415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14065.0080985,0.0,1.0,1.0
1,0,2007,385454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11720.8348914,0.0,1.0,1.0
2,0,2007,384443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9376.67206568,18210.9441271,1.0,1.0
3,0,2007,382993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9376.67206568,18210.9441271,1.0,1.0
4,0,2007,388409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9220.39177561,18210.9441271,1.0,1.0
5,0,2007,395029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9064.11148554,18210.9441271,1.0,1.0
6,0,2007,404996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8907.84157679,18210.9441271,1.0,1.0
7,0,2007,388992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8751.56128672,18698.7372733,1.0,1.0
8,0,2007,386316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8595.28099665,18698.7372733,1.0,1.0
9,0,2007,381873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8439.00070658,18698.7372733,1.0,1.0
10,0,2007,386097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8282.72041652,18698.7372733,1.0,1.0
11,0,2007,382081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8126.45050776,18698.7372733,1.0,1.0
12,0,2007,372521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7970.17021769,31462.6579338,1.0,1.0
13,0,2007,373205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7813.88992763,31462.6579338,1.0,1.0
14,0,2007,390326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7657.60963756,31462.6579338,1.0,1.0
15,0,2007,398091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7501.3397288,31462.6579338,1.0,1.0
16,0,2007,407909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7345.05943874,31462.6579338,1.0,1.0
17,0,2007,410753.0,743.170829539,678.988746998,1175.67618288,61.2671590977,26.282699196,0.0,0.0,0.0,0.0,7188.77914867,37098.2947503,1.0,1.0
18,0,2007,414862.0,1618.9726831,992.521836486,2061.32815041,175.789243523,91.4083829129,172.124541002,94.097574051,0.0,465.690653932,7032.4988586,35888.5677475,1.0,1.0
19,0,2007,410097.0,2965.40295402,2060.7926638,4445.48364301,348.031404388,208.643910632,391.789521636,325.556460694,0.0,742.722094165,7032.4988586,32259.3867393,1.0,1.0
20,0,2007,409834.0,4870.20847013,3613.93419608,9246.52202223,556.961528045,347.727455015,642.212799154,799.262679437,0.0,1371.47757134,7149.71426681,24682.3332008,1.0,1.0
21,0,2007,397336.0,7105.17098744,5166.12404325,13045.6585666,910.737815327,498.190562121,922.112404319,1254.85141471,0.0,2791.68977074,7266.9192937,19316.6085919,1.0,1.0
22,0,2007,385460.0,9836.8646911,6973.83705665,20826.5667423,1719.16663868,719.603941216,1332.99699222,1603.59605511,0.0,4588.7356266,7384.1243206,15381.7438787,1.0,1.0
23,0,2007,374174.0,11304.0356352,7851.34217418,27618.9669721,2416.28661718,843.737863983,1549.90977316,1674.42509647,0.0,5465.23934971,7501.3397288,10373.7342438,1.0,1.0
24,0,2007,396378.0,14317.7307608,9666.79727459,29274.2590572,3591.74807987,1025.06710527,1877.21534566,1959.931938,0.0,6742.35322875,7618.5447557,6438.86953064,1.0,1.0
25,0,2007,396854.0,16858.0314769,10322.4654494,42279.8982418,4923.43419094,1175.73009849,2103.11087609,2520.18255025,0.0,7692.80724309,7735.74978259,2780.42093368,1.0,1.0
26,0,2007,398322.0,20362.2496734,11519.7281915,53731.4676548,6395.27875248,1514.53705478,2700.10512395,3234.02577797,0.0,9228.71305592,7852.9651908,1235.74263719,1.0,1.0
27,0,2007,375869.0,21073.5125656,11336.4473565,56900.7560347,7594.92992788,1617.47840139,2861.74082574,3568.14617518,0.0,10243.9445864,7970.17021769,372.880840928,1.0,1.0
28,0,2007,369713.0,22064.4957899,11826.7881075,55820.4058249,9312.12132837,1764.25523674,3053.78519643,3088.65454154,0.0,10765.1718106,8087.37524459,372.880840928,1.0,1.0
29,0,2007,376439.0,21943.5775468,12076.3696721,68916.3942549,10547.9318817,1916.77298712,3365.00788213,3015.24151737,0.0,11015.0485039,8204.59065279,0.0,1.0,1.0
30,0,2007,367615.0,24149.0224902,12999.0841194,65423.8133171,12223.3094372,2225.96425955,3819.04911276,3401.33760829,0.0,11817.3216776,8321.79567969,0.0,1.0,1.0
31,0,2007,379862.0,24835.0841218,13581.9183749,71410.0918515,12720.5269652,2428.5511562,4285.89210613,3473.58762874,0.0,15033.9510456,8439.00070658,0.0,1.0,1.0
32,0,2007,404209.0,25893.1819225,13747.3401099,73986.641145,13566.3462128,2546.90232732,4497.04947273,3806.58731327,0.0,17793.2596328,8556.21611479,0.0,1.0,1.0
33,0,2007,430032.0,25675.494937,13521.2505923,70229.017001,13568.3492712,2780.0439077,4986.7975808,2745.95752051,0.0,18430.6652413,8673.42114168,0.0,1.0,1.0
34,0,2007,442664.0,26425.1948736,13515.4804655,79362.6322186,13562.3748712,2996.88314884,5384.2170093,2658.62228448,0.0,19113.3136123,8790.62616858,0.0,1.0,1.0
35,0,2007,441825.0,27003.4237947,13652.651728,77023.6134823,13562.3748712,3107.15520231,5505.61859963,2307.80115379,0.0,18042.2728279,8907.84157679,0.0,1.0,1.0
36,0,2007,433291.0,28161.5344026,13783.1783422,76391.5257903,13896.1483943,3239.18695068,5750.59126668,2536.56187179,0.0,18816.3232437,9025.04660368,0.0,1.0,1.0
37,0,2007,429512.0,28669.6642078,13263.0181243,84713.7612916,14590.138594,3317.6538701,5843.28750386,2850.357193,202.01309624,18287.9607974,9142.25163057,0.0,1.0,1.0
38,0,2007,425966.0,28389.4384845,13040.9496906,84264.3627816,14692.1276531,3417.93161808,6034.56090005,2993.55466974,420.072341827,20631.2677514,9259.45665747,0.0,1.0,1.0
39,0,2007,425972.0,28468.1019312,12988.6155831,78920.752895,14479.1079517,3482.70401472,6188.30756038,3829.18341836,637.293469451,21222.5822484,9376.67206568,0.0,1.0,1.0
40,0,2007,437843.0,28848.6204757,13344.3314723,81038.2964303,14609.1954695,3678.78764002,6532.41320526,3931.28245803,542.300417708,19862.0726195,9376.67206568,0.0,1.0,1.0
